#,Name,Image,Type,Source,Season,Reorderable,Buy Price (Bells),Buy Price (Medals),Sell Price (Re-Tail),Sell Price (Nooklings),Sell Price (Leila),HHA Base Points,Series,HHA Theme Challenge,When HHA Lucky,Color 1,Color 2,Fashion,Gender,Category,Catalog Keyword,Name (1.0),Name (English EU),Name (Japanese),Name (Spanish NA),Name (Spanish EU),Name (French NA),Name (French EU),Name (German),Name (Italian),Name (Korean),Version Added,Hex ID (1.0),Hex ID (1.4),Hex ID [Wall] (1.4),Model Filename,New To Series,Name (GCN),Name (WW),Name (CF),Name (NH),Name (HHD),Name (PC)
373,red ringmaster coat,,Shirt,GracieGrace,-,No,"6,000",-,"1,500",-,75,299,-,Antique / Fairy Tale,-,red,red,ornate,Unisex,-,,-,-,あかいきへいたいのふく,casaca circense roja,casaca circense roja,veste Loyal rouge,veste Loyal rouge,Dompteursjacke,giacca circo rossa,빨간 기병대 옷,1.0,256B,25B8,35F1,tops_versailles_red,Yes,,,-,,,-
374,red tie-dye tank,,Tank Top,Able Sisters,Summer,Yes,280,-,70,56,3,3,-,-,-,pink,white,basic,Unisex,Nature,,-,-,いちごソーダなふくN,top hippy rojo,top hippy rojo,débard. batik rouge,débard. batik rouge,Naturtop,canotta fucsia,딸기 소다 옷 N,1.0,2602,264F,3688,tops_img_stbsoda,Yes,,,-,,,-
375,red tie-dye tee,,T-Shirt,Able Sisters,-,Yes,380,-,95,76,4,3,-,-,-,pink,white,basic,Unisex,Nature,,-,-,いちごソーダなふく,camiseta hippy roja,camiseta hippy roja,t-shirt batik rouge,t-shirt batik rouge,Naturshirt,maglietta fucsia,딸기 소다 옷,1.0,247D,24CA,3503,tops_img_stbsoda,Yes,,,-,,,red tie-dye tee
376,red warm-up suit,,Shirt,Able Sisters,-,Yes,260,-,65,52,3,3,-,-,-,red,red,sporty,Unisex,-,,-,-,あかジャージ,sudadera sport roja,sudadera sport roja,veste survêt rouge,veste survêt rouge,Trainingsjacke,maglia tuta rossa,빨간 트레이닝복,1.0,2531,257E,35B7,tops_jersey_red,Yes,,,-,,,red warm-up suit
377,red-bar shirt,,Shirt,Able Sisters,Fall,Yes,420,-,105,84,5,3,-,-,-,red,white,sporty,Male,H-Striped,,-,-,あかしろラガーシャツL,jersey barras,jersey barras,pull barre,pull barre,Ferienpulli,maglia a rigoni,빨강하양 럭비 셔츠 L,1.0,25CC,2619,3652,tops_border_redwht,Yes,,,-,,,red-bar shirt
378,red-bar tee,,T-Shirt,Able Sisters,-,Yes,360,-,90,72,4,3,-,-,-,red,white,sporty,Male,H-Striped,,-,-,あかしろラガーシャツ,camiseta barras,camiseta barras,t-shirt barre,t-shirt barre,Ferienshirt,maglietta a rigoni,빨강하양 럭비 셔츠,1.0,248A,24D7,3510,tops_border_redwht,Yes,,,-,,,red-bar tee
379,red-check shirt,,Shirt,Able Sisters,Spring,Yes,420,-,105,84,5,3,-,-,-,red,white,cute,Unisex,Plaid,,-,-,あかチェックのふくL,jersey trapo rojo,jersey trapo rojo,pull carrés rouge,pull carrés rouge,Rotweiß-Pulli,maglia tovaglia,빨간 체크무늬 옷 L,1.0,25A5,25F2,362B,tops_check_red,Yes,,,-,,,-
380,red-check tee,,T-Shirt,Able Sisters,Spring,Yes,330,-,82,65,4,3,-,-,-,red,white,basic,Unisex,Plaid,,-,-,あかチェックのふく,camiseta trapo rojo,camiseta trapo rojo,t-shirt carrés rouge,t-shirt carrés rouge,Rotweiß-Shirt,maglietta tovaglia,빨간 체크무늬 옷,1.0,2482,24CF,3508,tops_check_red,Yes,,,-,,,red-check tee
381,red-grid shirt,,Shirt,Able Sisters,Fall,Yes,420,-,105,84,5,3,-,-,-,brown,beige,basic,Unisex,Plaid,,-,-,あきいろこうしのふくL,jersey reja roja,jersey reja roja,pull grille rouge,pull grille rouge,Käfigpulli,maglia giallorossa,가을색 체크무늬 옷 L,1.0,25B4,2601,363A,tops_grid_fall,Yes,,,-,,,red-grid shirt
382,red-grid tee,,T-Shirt,Able Sisters,Fall,Yes,360,-,90,72,4,3,-,-,-,brown,beige,basic,Unisex,Plaid,,-,-,あきいろこうしのふく,camiseta reja roja,camiseta reja roja,t-shirt grille rouge,t-shirt grille rouge,Käfigshirt,magliet. giallorossa,가을색 체크무늬 옷,1.0,2496,24E3,351C,tops_grid_fall,Yes,,,-,,,red-grid tee
383,red-zap suit,,Shirt,Able Sisters,-,Yes,640,-,160,128,8,3,red superhero,Sci-Fi / Toy Shop,-,white,red,sporty,Male,-,,-,-,ヒーロースーツR,superjersey rojo,superjersey rojo,pull de héros rouge,pull de héros rouge,Rotheldenpulli,maglia eroe rosso,히어로 슈트 R,1.0,253E,258B,35C4,tops_hero_red,Yes,,,-,,,red-zap suit
384,reggae tank,,Tank Top,Able Sisters,Summer,Yes,280,-,70,56,3,3,-,-,-,red,green,iconic,Unisex,Nature,,-,-,レゲエなふくN,top reggae,top reggae,débardeur reggae,débardeur reggae,Reggae-Top,canotta reggae,레게 옷 N,1.0,25E9,2636,366F,tops_reggae,Yes,,,-,,,-
385,reggae tee,,T-Shirt,Able Sisters,-,Yes,320,-,80,64,4,3,-,-,-,red,green,iconic,Unisex,Nature,,-,-,レゲエなふく,camiseta reggae,camiseta reggae,t-shirt reggae,t-shirt reggae,Reggae-Shirt,maglietta reggae,레게 옷,1.0,2519,2566,359F,tops_reggae,Yes,,,-,,,reggae tee
386,relay tank,,Tank Top,Able Sisters,Winter,Yes,420,-,105,84,5,3,-,-,-,purple,yellow,sporty,Male,Manufactured,,-,-,えきでんなふく,top maratón,top maratón,débardeur marathon,débardeur marathon,Staffellauf-Top,canotta maratona,마라토너 옷,1.0,257A,25C7,3600,tops_ekiden,Yes,,,-,,,-
387,rose tee,,T-Shirt,Able Sisters,-,Yes,480,-,120,96,6,3,-,Rustic,-,white,red,cute,Female,Nature,,-,-,しろじのバラのふく,camiseta rosal,camiseta rosal,t-shirt rose,t-shirt rose,Rosenshirt,maglietta rose,하얀 바탕 장미 옷,1.0,2588,25D5,360E,tops_flw_rosewht,Yes,,,-,,,-
388,rose-sky tee,,T-Shirt,Able Sisters,-,Yes,320,-,80,64,4,3,-,Rustic,-,aqua,red,cute,Female,Nature,,-,-,あおじのバラのふく,camiseta rosal azul,camiseta rosal azul,t-shirt rose ciel,t-shirt rose ciel,Tulpenshirt,maglietta rose blu,파란 바탕 장미 옷,1.0,2585,25D2,360B,tops_flw_roseblu,Yes,,,-,,,rose-sky tee
389,royal shirt,,Shirt,Able Sisters,-,Yes,380,-,95,76,4,3,king,Antique,-,red,yellow,ornate,Male,Nature,,-,-,おうさまのふく,jersey real,jersey real,pull royal,pull royal,Königswams,maglia reale,임금님 옷,1.0,2511,255E,3597,tops_royal,No,,,royal shirt,,,-
390,rubber apron,,T-Shirt,Able Sisters,-,Yes,640,-,160,128,8,3,-,-,-,black,white,iconic,Unisex,-,,-,-,ゴムエプロン,delantal rígido,delantal rígido,tablier caoutchouc,tablier caoutchouc,Kunststoffschürze,grembiule di gomma,고무 앞치마,1.4,-,2662,369B,tops_apron_gom,Yes,,,-,,,-
391,rugby shirt,,Shirt,Able Sisters,-,Yes,420,-,105,84,5,3,-,-,-,yellow,blue,rock 'n' roll,Unisex,H-Striped,,-,-,めだつボーダーのふくL,jersey rugby,jersey rugby,pull rugby,pull rugby,Rugby-Pulli,maglia rugby,튀는 줄무늬 옷 L,1.0,25A6,25F3,362C,tops_border_bold,No,,,rugby shirt,,,rugby shirt
392,rugby tee,,T-Shirt,Able Sisters,-,Yes,360,-,90,72,4,3,-,-,-,blue,yellow,rock 'n' roll,Unisex,H-Striped,,-,-,めだつボーダーのふく,camiseta rugby,camiseta rugby,t-shirt rugby,t-shirt rugby,Rugby-Shirt,maglietta rugby,튀는 줄무늬 옷,1.0,2485,24D2,350B,tops_border_bold,Yes,,,-,,,rugby tee
393,sailor's shirt,,Shirt,Able Sisters,Fall,Yes,420,-,105,84,5,3,-,-,-,white,blue,official,Female,-,,-,-,ながそでセーラーふく,jersey marinero,jersey marinero,pull matelot,pull matelot,Marinepulli,maglia marinaio,긴팔 세일러복,1.0,25AA,25F7,3630,tops_sailor,Yes,,,-,,,sailor's shirt
394,sailor's tee,,T-Shirt,Able Sisters,Spring,Yes,320,-,80,64,4,3,sailor,-,-,white,blue,official,Female,-,,-,-,はんそでセーラーふく,camiseta marinera,camiseta marinera,t-shirt matelot,t-shirt matelot,Marineshirt,maglietta marinaio,세일러복,1.0,2518,2565,359E,tops_sailor,Yes,,,-,,,-
395,samurai shirt,,Shirt,Able Sisters,-,Yes,640,-,160,128,8,3,samurai,Harmonious / Antique / Quirky,-,black,black,historical,Male,-,,-,-,かっちゅう,coraza samurái,coraza samurái,cuirasse samouraï,cuirasse samouraï,Samurairüstung,armatura samurai,일본 무사 갑옷,1.0,2541,258E,35C7,tops_samurai,Yes,,,-,,,-
396,sandwich tank,,Tank Top,GracieGrace,-,No,"6,400",-,"1,600",-,80,251,-,-,-,white,colorful,flashy,Unisex,Nature,,-,-,ミックスサンドなふく,top bocata,top bocata,débardeur sandwich,débardeur sandwich,Sandwich-Top,canotta panino,샌드위치 옷,1.0,2503,2550,3589,tops_food_sandwich,Yes,,,-,,,-
397,Santa coat,,Shirt,Able Sisters,Winter,Yes,420,-,105,84,5,33,-,Toy Shop,Dec 1-31,red,white,cute,Unisex,Manufactured,,-,-,サンタのジャケット,jersey festivo,jersey festivo,manteau de père Noël,manteau de père Noël,Weihnachtsmannjacke,maglia Babbo Natale,산타 재킷,1.0,254B,2598,35D1,tops_coat_xmas,Yes,,,-,,,Santa coat
398,scale-armor suit,,Shirt,Able Sisters,-,Yes,480,-,120,96,6,3,viking,Antique / Quirky,-,blue,aqua,historical,Male,-,,-,-,うろこよろい,cota de malla,cota de malla,cuirasse d'écailles,cuirasse d'écailles,Schuppenpanzerhemd,cotta di maglia,미늘갑옷,1.0,252D,257A,35B3,tops_scale,Yes,,,-,,,scale-armor suit
399,scale-print tee,,T-Shirt,Able Sisters,-,Yes,420,-,105,84,5,3,-,Harmonious,-,blue,blue,iconic,Unisex,Nature,,-,-,せいがいはのふく,camiseta escamas,camiseta escamas,t-shirt écailles,t-shirt écailles,Schuppenshirt,maglietta a squame,비늘무늬 옷,1.0,254D,259A,35D3,tops_jpn_seigaiha,Yes,,,-,,,-
400,school jacket,,Shirt,Able Sisters,-,Yes,420,-,105,84,5,3,-,-,-,black,black,official,Male,-,,-,-,がくせいふく,chaqueta escolar,chaqueta escolar,veste d'écolier,veste d'écolier,Streber-Schuljacke,giacca scuola,학생복,1.0,2563,25B0,35E9,tops_gakuran,Yes,,,-,,,-
401,security tee,,T-Shirt,Able Sisters,-,Yes,420,-,105,84,5,3,police officer,-,-,black,aqua,official,Male,Manufactured,,-,-,けいかんのふく,uniforme de policía,uniforme de policía,t-shirt sécurité,t-shirt sécurité,Polizeishirt,camicia polizia,경찰복,1.0,2525,2572,35AB,tops_security,Yes,,,-,,,security tee
402,seven-ball tee,,T-Shirt,Able Sisters,-,Yes,340,-,85,68,4,3,-,-,-,brown,brown,sporty,Unisex,Manufactured,,-,-,7ばんだまのふく,camiseta bola 7,camiseta bola 7,t-shirt nº 7,t-shirt nº 7,7er-Shirt,maglietta palla 7,7번공 옷,1.0,244E,249B,34D4,tops_numball_7,Yes,,,-,,,seven-ball tee
403,sharp outfit,,T-Shirt,Able Sisters,Winter,Yes,280,-,70,56,3,3,-,Harmonious,-,purple,white,historical,Unisex,Nature,,-,-,いげたもようのふく,camiseta trazos,camiseta trazos,t-shirt dièse,t-shirt dièse,Rautenshirt,maglietta diesis,우물정 옷,1.0,24EA,2537,3570,tops_jpn_igeta,No,,,sharp outfit,,,sharp outfit
404,shearling coat,,Shirt,Able Sisters,Winter,Yes,480,-,120,96,6,3,-,-,-,beige,beige,cute,Unisex,-,,-,-,ムートンコート,trenca marrón,trenca marrón,manteau fourré,manteau fourré,Felljacke,giacca scamosciata,양가죽 코트,1.0,2594,25E1,361A,tops_coat_mouton,Yes,,,-,,,shearling coat
405,Sheik outfit,,Shirt,Epona's RV,-,No,-,-,200,-,10,300,-,Toy Shop,-,white,blue,iconic,Unisex,-,,-,-,シークのふく,túnica de Sheik,túnica de Sheik,tenue de Sheik,tenue de Sheik,Shiek-Outfit,costume Sheik,시크 옷,1.4,-,2680,36B9,tops_nin_sheik,Yes,,,-,,,-
406,silk bloom tee,,T-Shirt,Able Sisters,Spring,Yes,480,-,120,96,6,3,-,Rustic,-,green,colorful,cute,Female,Nature,,-,-,はながらのゆうぜんシャツ,camiseta lilas,camiseta lilas,t-shirt en soie,t-shirt en soie,Kunstseidenshirt,maglietta tenue,꽃무늬 자수 셔츠,1.0,2581,25CE,3607,tops_flw_yuzen,Yes,,,-,,,silk bloom tee
407,six-ball tee,,T-Shirt,Able Sisters,-,Yes,340,-,85,68,4,3,-,-,-,green,green,sporty,Unisex,Manufactured,,-,-,6ばんだまのふく,camiseta bola 6,camiseta bola 6,t-shirt nº 6,t-shirt nº 6,6er-Shirt,maglietta palla 6,6번공 옷,1.0,244D,249A,34D3,tops_numball_6,Yes,,,-,,,six-ball tee
408,skull shirt,,Shirt,Able Sisters,-,Yes,420,-,105,84,5,3,-,Quirky,-,black,white,rock 'n' roll,Male,Manufactured,,-,-,ドクロのふくL,jersey pirata,jersey pirata,pull crâne,pull crâne,Schädelpulli,maglia teschio,해골 옷 L,1.0,25CE,261B,3654,tops_skull,No,,,skull shirt,,,skull shirt
409,skull tee,,T-Shirt,Able Sisters,-,Yes,320,-,80,64,4,3,-,Quirky,-,black,white,rock 'n' roll,Male,Manufactured,,-,-,ドクロのふく,camiseta pirata,camiseta pirata,t-shirt crâne,t-shirt crâne,Schädelshirt,maglietta teschio,해골 옷,1.0,2455,24A2,34DB,tops_skull,Yes,,,-,,,skull tee
410,sno-cone tank,,Tank Top,Able Sisters,Summer,Yes,280,-,70,56,3,3,-,-,-,red,white,basic,Unisex,Nature,,-,-,こおりイチゴのふくN,top fresa-nata,top fresa-nata,débardeur cône,débardeur cône,Bonbontop,canotta granita,딸기주스 옷 N,1.0,25E5,2632,366B,tops_img_snowcone,Yes,,,-,,,-
411,sno-cone tee,,T-Shirt,Able Sisters,Summer,Yes,420,-,105,84,5,3,-,-,-,red,white,basic,Unisex,Nature,,-,-,こおりイチゴのふく,camiseta fresa-nata,camiseta fresa-nata,t-shirt cône,t-shirt cône,Bonbonshirt,maglietta granita,딸기주스 옷,1.0,2478,24C5,34FE,tops_img_snowcone,Yes,,,-,,,-
412,snow shirt,,Shirt,Able Sisters,-,Yes,680,-,170,136,8,3,-,-,-,white,white,basic,Unisex,Nature,,-,-,ゆきのふく,jersey nieve,jersey nieve,pull neige,pull neige,Schneepulli,maglia neve,눈무늬 옷,1.0,24D3,2520,3559,tops_snow_square,No,,,snow shirt,,,snow shirt
413,snowy sweater,,Shirt,Able Sisters,Winter,Yes,420,-,105,84,5,3,-,-,-,gray,gray,iconic,Unisex,-,,-,-,アイスランドなセーター,chaqueta de lana,chaqueta de lana,pull nordique,pull nordique,Winterstrickjacke,maglione nordico,아이슬란드풍 스웨터,1.0,257B,25C8,3601,tops_sweater_iceland,Yes,,,-,,,snowy sweater
414,soccer shirt,,Shirt,Able Sisters,-,Yes,420,-,105,84,5,3,-,-,-,yellow,green,sporty,Male,-,,-,-,ラテンなユニフォームL,jersey fútbol,jersey fútbol,pull Brésil,pull Brésil,WM-Pulli,maglia calcio,라틴풍 유니폼 L,1.0,25CA,2617,3650,tops_unfm_latin,Yes,,,-,,,-
415,soccer tee,,T-Shirt,Able Sisters,Summer,Yes,320,-,80,64,4,3,-,-,-,yellow,green,sporty,Male,-,,-,-,ラテンなユニフォーム,camiseta fútbol,camiseta fútbol,t-shirt Brésil,t-shirt Brésil,WM-Shirt,maglietta calcio,라틴풍 유니폼,1.0,251E,256B,35A4,tops_unfm_latin,Yes,,,-,,,soccer tee
416,space suit,,Shirt,Able Sisters,-,Yes,360,-,90,72,4,3,astronaut,Sci-Fi / Toy Shop,-,white,gray,sporty,Unisex,-,,-,-,うちゅうふく,jersey espacial,jersey espacial,pull spatial,pull spatial,Astronautenjacke,maglia spaziale,우주복,1.0,2535,2582,35BB,tops_space,No,,,space suit,,,-
417,spade tee,,T-Shirt,Able Sisters,-,Yes,340,-,85,68,4,3,-,Toy Shop,-,aqua,blue,basic,Unisex,Manufactured,,-,-,スペードのふく,camiseta pica,camiseta pica,t-shirt pique,t-shirt pique,Shirt „Pik“,maglietta di picche,스페이드 옷,1.0,2460,24AD,34E6,tops_mark_spade,Yes,,,-,,,spade tee
418,speedway tee,,T-Shirt,Able Sisters,Summer,Yes,290,-,72,57,3,3,-,-,-,white,white,basic,Unisex,H-Striped,,-,-,シンプルラインなふく,camiseta piscina,camiseta piscina,t-shirt basque,t-shirt basque,Rennbahnshirt,maglietta a righine,얌전한 줄무늬 옷,1.0,248F,24DC,3515,tops_border_simple,Yes,,,-,,,-
419,spiderweb tee,,T-Shirt,Able Sisters,Summer,Yes,320,-,80,64,4,3,-,Toy Shop / Quirky,-,black,white,rock 'n' roll,Unisex,Nature,,-,-,スパイダーなふく,camiseta telaraña,camiseta telaraña,t-shirt arachno,t-shirt arachno,Spinnwebenshirt,maglietta ragnatela,스파이더 옷,1.0,24F7,2544,357D,tops_insc_spiderweb,Yes,,,-,,,spiderweb tee
420,splendid tee,,T-Shirt,Able Sisters,-,Yes,420,-,105,84,5,3,-,Trendy,-,purple,orange,flashy,Unisex,Nature,,-,-,ストレンジなふく,camiseta espléndida,camiseta espléndida,t-shirt splendide,t-shirt splendide,Tipptopp-Shirt,maglietta splendida,이상한 옷,1.0,24E7,2534,356D,tops_strange,Yes,,,-,,,splendid tee
421,spring shirt,,Shirt,Able Sisters,Spring,Yes,320,-,80,64,4,3,-,Rustic,-,beige,blue,cute,Unisex,Nature,,-,-,はながらのニット,jersey copitos,jersey copitos,pull pastel,pull pastel,Frühlingspulli,maglione primavera,꽃무늬 니트,1.0,24C9,2516,354F,tops_knit_flw,No,,,spring shirt,,,spring shirt
422,spunky knit shirt,,Shirt,Able Sisters,Winter,Yes,360,-,90,72,4,3,-,-,-,beige,green,cute,Unisex,Nature,,-,lively knit shirt,かわいいニット,jersey retro,jersey retro,pull prairie,pull prairie,Nordik-Pulli,maglione vivace,귀여운 니트,1.0,24CA,2517,3550,tops_knit_pretty,Yes,,,-,,,spunky knit shirt
423,star tee,,T-Shirt,Able Sisters,-,Yes,370,-,92,73,4,3,-,-,-,colorful,white,flashy,Unisex,Nature,,-,-,スターなふく,camiseta estrellas,camiseta estrellas,t-shirt étoiles,t-shirt étoiles,Buntstern-Shirt,maglietta stellare,별이 빛나는 옷,1.0,24DF,252C,3565,tops_ptn_star,Yes,,,-,,,star tee
424,straw shirt,,Shirt,Able Sisters,Fall,Yes,360,-,90,72,4,3,-,Rustic,-,yellow,orange,historical,Unisex,Nature,,-,-,かれくさのふく,jersey ramitas,jersey ramitas,pull paille,pull paille,Strohpulli,maglia paglia,황금빛 벼무늬 옷,1.0,24D1,251E,3557,tops_straw,No,,,straw shirt,,,straw shirt
425,strawberry tank,,Tank Top,Able Sisters,Summer,Yes,280,-,70,56,3,3,strawberry,-,-,pink,green,cute,Unisex,Fruit,,-,-,いちごのふくN,top fresa,top fresa,débardeur fraise,débardeur fraise,Erdbeertop,canotta fragola,딸기 옷 N,1.0,25E7,2634,366D,tops_frt_stberry,Yes,,,-,,,-
426,strawberry tee,,T-Shirt,Able Sisters,-,Yes,640,-,160,128,8,3,strawberry,Rustic,-,pink,green,cute,Unisex,Fruit,,-,-,いちごのふく,camiseta fresa,camiseta fresa,t-shirt fraise,t-shirt fraise,Erdbeershirt,maglietta fragola,딸기 옷,1.0,24FD,254A,3583,tops_frt_stberry,Yes,,,-,,,-
427,striking outfit,,T-Shirt,Able Sisters,Winter,Yes,460,-,115,92,5,3,-,Antique,-,blue,yellow,flashy,Male,Nature,,-,-,いさましいふく,camiseta nudo,camiseta nudo,t-shirt frappant,t-shirt frappant,Kombishirt,maglietta guerriero,용감한 옷,1.0,2530,257D,35B6,tops_brave,No,,,striking outfit,,,-
428,stylish suit,,Shirt,Able Sisters,-,Yes,640,-,160,128,8,3,-,-,-,gray,black,official,Unisex,-,,-,-,おしゃれなスーツ,saco elegante,chaqueta elegante,costume élégant,costume élégant,Fashion-Jacke,giacca stilosa,스타일리시 옷,1.4,-,265B,3694,tops_suit_fashionable,Yes,,,-,,,-
429,subdued-print tee,,T-Shirt,Able Sisters,Fall,Yes,320,-,80,64,4,3,-,Harmonious,-,orange,brown,historical,Unisex,Nature,,-,-,たんぼぎ,camiseta naranja,camiseta naranja,t-shirt atténué,t-shirt atténué,Leinenshirt,maglietta marrone,누더기 옷,1.0,24E9,2536,356F,tops_jpn_tanbo,Yes,,,-,,,-
430,sundae tank,,Tank Top,Able Sisters,Summer,Yes,420,-,105,84,5,3,-,Fairy Tale,-,brown,green,flashy,Unisex,Nature,,-,-,うじきんときのふく,top avalancha,top avalancha,débardeur moche,débardeur moche,Pfui-Top,canotta orrenda,녹차빙수 옷,1.0,2505,2552,358B,tops_food_uji,Yes,,,-,,,-
431,sunflower tee,,T-Shirt,Able Sisters,Summer,Yes,360,-,90,72,4,3,-,Rustic,-,aqua,yellow,cute,Unisex,Nature,,-,-,ひまわりのふく,camiseta girasoles,camiseta girasoles,t-shirt tournesols,t-shirt tournesols,Sonnenblumenshirt,maglietta girasole,해바라기 옷,1.0,2597,25E4,361D,tops_sunflower,Yes,,,-,,,sunflower tee
432,sunset tank,,Tank Top,Able Sisters,Summer,Yes,280,-,70,56,3,3,-,-,-,orange,yellow,basic,Unisex,Nature,,-,-,サンセットなふくN,top atardecer,top atardecer,débardeur couchant,débardeur couchant,Sonnentop,canotta tramonto,일몰색 옷 N,1.0,25FA,2647,3680,tops_img_sunset,Yes,,,-,,,-
433,sunset tee,,T-Shirt,Able Sisters,-,Yes,290,-,72,57,3,3,-,-,-,orange,yellow,basic,Unisex,Nature,,-,-,サンセットなふく,camiseta atardecer,camiseta atardecer,t-shirt couchant,t-shirt couchant,Sonnenshirt,maglietta tramonto,일몰색 옷,1.0,2474,24C1,34FA,tops_img_sunset,Yes,,,-,,,sunset tee
434,sushi chef's outfit,,Shirt,Able Sisters,-,Yes,640,-,160,128,8,3,-,-,-,white,white,iconic,Unisex,-,,-,-,いたまえのふく,uniforme chef sushi,chaqueta chef sushi,tenue de chef sushi,tenue de chef sushi,Sushikochjacke,giacca cuoco giap.,일식 주방장 옷,1.4,-,2660,3699,tops_cook,Yes,,,-,,,sushi chef's outfit
435,suspenders shirt,,T-Shirt,Toby's RV,-,No,-,-,200,-,10,300,-,Fairy Tale / Toy Shop,-,white,green,cute,Unisex,-,,-,-,けろけろけろっぴなシャツ,camisa jardín zen,camisa jardín zen,haut Kerokerokeroppi,haut Kerokerokeroppi,Teich-Pulli,camicia ranocchio,케로케로케로피 셔츠,1.4,-,2670,36A9,tops_snr_keroppisht,Yes,,,-,,,-
436,sweater-vest,,Shirt,Able Sisters,-,Yes,420,-,105,84,5,3,-,-,-,purple,white,official,Male,-,,-,-,チョッキつきワイシャツ,chaleco con camisa,chaleco con camisa,gilet de laine,gilet de laine,Pullunder mit Hemd,gilet di lana,조끼&와이셔츠,1.0,2573,25C0,35F9,tops_yshirt_vest,Yes,,,-,,,sweater-vest
437,swell shirt,,Shirt,Able Sisters,-,Yes,400,-,100,80,5,3,-,Trendy,-,brown,yellow,modern,Unisex,Nature,,-,-,ブラウンタイルなふくL,jersey de tarde,jersey de tarde,pull chouette,pull chouette,70er-Pulli,maglia arlecchino,브라운 타일 옷 L,1.0,258B,25D8,3611,tops_tile_brn,No,,,swell shirt,,,-
438,swell tee,,T-Shirt,Able Sisters,-,Yes,400,-,100,80,5,3,-,Trendy,-,brown,yellow,modern,Unisex,Nature,,-,-,ブラウンタイルなふく,camiseta de tarde,camiseta de tarde,t-shirt chouette,t-shirt chouette,70er-Shirt,maglietta arlecchino,브라운 타일 옷,1.0,25A0,25ED,3626,tops_tile_brn,Yes,,,-,,,swell tee
439,tacky sweater,,Shirt,GracieGrace,Spring,No,"5,200",-,"1,300",-,65,299,-,-,-,black,white,iconic,Unisex,-,,-,-,ニットベスト,jersey de lana,jersey de lana,pull montagnard,pull montagnard,Strickweste mit Hemd,maglione kitsch,니트 베스트,1.0,2596,25E3,361C,tops_knit_vest,Yes,,,-,,,tacky sweater
440,tan dogtooth shirt,,Shirt,Able Sisters,Fall,Yes,420,-,105,84,5,3,-,-,-,brown,brown,iconic,Unisex,Plaid,,-,-,セピアなちどりごうしL,jersey sabueso,jersey sabueso,pull pied coq brun,pull pied coq brun,Schokopulli,maglia zampetta,갈색 바람개비 옷 L,1.0,25AE,25FB,3634,tops_hound_sepia,Yes,,,-,,,tan dogtooth shirt
441,tan dogtooth tee,,T-Shirt,Able Sisters,Fall,Yes,350,-,87,69,4,3,-,-,-,brown,brown,iconic,Unisex,Plaid,,-,-,セピアなちどりごうし,camiseta sabueso,camiseta sabueso,t-shirt p. coq brun,t-shirt p. coq brun,Schokoshirt,maglietta zampetta,갈색 바람개비 옷,1.0,2484,24D1,350A,tops_hound_sepia,Yes,,,-,,,-
442,tan puffy vest,,T-Shirt,Able Sisters,Winter,Yes,420,-,105,84,5,3,-,-,-,brown,brown,basic,Unisex,-,,-,-,ダウンベスト,chaleco amarillo,chaleco amarillo,gilet molletonné,gilet molletonné,Daunenweste,piumino smanicato,다운 베스트,1.0,2560,25AD,35E6,tops_down_vest,Yes,,,-,,,-
443,team NTDO tee,,T-Shirt,Able Sisters,-,Yes,320,-,80,64,4,3,-,-,-,black,red,sporty,Unisex,Manufactured,,-,-,はしがあかいふく,camiseta NTDO,camiseta NTDO,t-shirt équipe NTDO,t-shirt équipe NTDO,Rotsaumshirt,maglietta grigia,빨간 테두리 옷,1.0,2545,2592,35CB,tops_collage_red,Yes,,,-,,,team NTDO tee
444,three-ball tee,,T-Shirt,Able Sisters,-,Yes,340,-,85,68,4,3,-,-,-,red,red,sporty,Unisex,Manufactured,,-,-,3ばんだまのふく,camiseta bola 3,camiseta bola 3,t-shirt nº 3,t-shirt nº 3,3er-Shirt,maglietta palla 3,3번공 옷,1.0,244A,2497,34D0,tops_numball_3,Yes,,,-,,,three-ball tee
445,tiger jacket,,Shirt,GracieGrace,-,No,"5,000",-,"1,250",-,62,299,-,Harmonious,-,purple,colorful,rock 'n' roll,Male,Nature,,-,-,トラのスカジャン,cazadora tigre,cazadora tigre,veste tigre,veste tigre,Tigerjacke,giacca viola e oro,호랑이 점퍼,1.0,2555,25A2,35DB,tops_skajan_tiger,Yes,,,-,,,-
446,tiger tank,,Tank Top,GracieGrace,Summer,No,"5,800",-,"1,450",-,72,251,-,-,-,yellow,black,rock 'n' roll,Unisex,Animal,,-,-,とらじまのふくN,top tigre,top tigre,débardeur tigre,débardeur tigre,Tigertop,canotta tigre,호랑이무늬 옷 N,1.0,2600,264D,3686,tops_anml_tiger,Yes,,,-,,,-
447,tiger tee,,T-Shirt,GracieGrace,-,No,"6,400",-,"1,600",-,80,251,-,-,-,yellow,black,rock 'n' roll,Unisex,Animal,,-,-,とらじまのふく,camiseta tigre,camiseta tigre,t-shirt tigre,t-shirt tigre,Tigershirt,maglietta tigre,호랑이무늬 옷,1.0,24F2,253F,3578,tops_anml_tiger,Yes,,,-,,,-
448,tin shirt,,T-Shirt,Able Sisters,-,Yes,400,-,100,80,5,3,-,Quirky,-,gray,gray,flashy,Unisex,-,,-,-,ブリキのふく,camiseta hojalata,camiseta hojalata,t-shirt métal,t-shirt métal,Blechshirt,maglia tipo latta,강철 옷,1.0,252C,2579,35B2,tops_tin,No,,,tin shirt,,,-
